datetime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2020-03-10 16:02:01.938849,0.013000000000000001,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:01.954228,0.011,-0.005,1.032,0.21,0.42,1.05
2020-03-10 16:02:01.964463,0.014,-0.006,1.031,0.21,0.28,1.05
2020-03-10 16:02:01.995074,0.014,-0.006,1.028,0.21,0.63,1.05
2020-03-10 16:02:01.995119,0.013000000000000001,-0.006,1.026,0.21,0.42,1.05
2020-03-10 16:02:01.995136,0.016,-0.007,1.0230000000000001,0.21,0.49,1.05
2020-03-10 16:02:02.010479,0.011,-0.007,1.028,0.21,0.49,1.05
2020-03-10 16:02:02.020818,0.012,-0.006,1.028,0.28,0.56,1.05
2020-03-10 16:02:02.036160,0.012,-0.007,1.024,0.21,0.56,1.05
2020-03-10 16:02:02.046443,0.012,-0.006,1.031,0.21,0.42,1.05
2020-03-10 16:02:02.046482,0.01,-0.007,1.032,0.21,0.63,0.98
2020-03-10 16:02:02.046499,0.013000000000000001,-0.005,1.03,0.14,0.56,1.05
2020-03-10 16:02:02.051730,0.011,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.056920,0.012,-0.005,1.031,0.28,0.49,1.05
2020-03-10 16:02:02.069818,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.075048,0.012,-0.007,1.03,0.21,0.63,1.05
2020-03-10 16:02:02.075082,0.012,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.075187,0.013000000000000001,-0.008,1.027,0.21,0.56,1.05
2020-03-10 16:02:02.100888,0.011,-0.007,1.027,0.21,0.63,1.05
2020-03-10 16:02:02.111217,0.011,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.116366,0.01,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.126644,0.009000000000000001,-0.005,1.03,0.21,0.42,1.05
2020-03-10 16:02:02.136958,0.012,-0.004,1.029,0.21,0.56,1.05
2020-03-10 16:02:02.152316,0.014,-0.005,1.031,0.21,0.42,1.05
2020-03-10 16:02:02.172836,0.011,-0.006,1.031,0.21,0.42,1.05
2020-03-10 16:02:02.185715,0.011,-0.004,1.028,0.21,0.56,1.05
2020-03-10 16:02:02.196000,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.201219,0.011,-0.006,1.032,0.21,0.49,1.12
2020-03-10 16:02:02.211415,0.012,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.231804,0.01,-0.007,1.04,0.21,0.56,1.05
2020-03-10 16:02:02.237001,0.008,-0.004,1.04,0.21,0.49,1.05
2020-03-10 16:02:02.237111,0.01,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.242353,0.009000000000000001,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.257751,0.011,-0.006,1.033,0.21,0.56,1.05
2020-03-10 16:02:02.257888,0.011,-0.005,1.031,0.21,0.49,0.98
2020-03-10 16:02:02.257938,0.011,-0.006,1.03,0.21,0.56,1.05
2020-03-10 16:02:02.273272,0.012,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.278440,0.01,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:02.290996,0.012,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.291040,0.011,-0.005,1.029,0.21,0.49,0.98
2020-03-10 16:02:02.291104,0.012,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.291159,0.012,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.291174,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.301731,0.012,-0.005,1.031,0.28,0.42,1.05
2020-03-10 16:02:02.312019,0.011,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.317293,0.011,-0.007,1.033,0.21,0.49,1.05
2020-03-10 16:02:02.322437,0.012,-0.006,1.028,0.21,0.56,1.05
2020-03-10 16:02:02.322501,0.011,-0.007,1.029,0.28,0.49,1.05
2020-03-10 16:02:02.343031,0.011,-0.005,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.363533,0.009000000000000001,-0.005,1.027,0.21,0.49,1.05
2020-03-10 16:02:02.378835,0.012,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.378883,0.011,-0.007,1.026,0.21,0.49,1.05
2020-03-10 16:02:02.389185,0.009000000000000001,-0.006,1.028,0.21,0.49,1.05
2020-03-10 16:02:02.394530,0.011,-0.007,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.404881,0.012,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.425360,0.011,-0.005,1.03,0.21,0.42,1.05
2020-03-10 16:02:02.450881,0.011,-0.004,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.466278,0.011,-0.006,1.034,0.21,0.42,1.05
2020-03-10 16:02:02.471551,0.006,-0.002,1.062,0.28,0.7000000000000001,1.05
2020-03-10 16:02:02.481959,0.008,-0.005,1.03,0.21,0.63,1.05
2020-03-10 16:02:02.497483,0.013000000000000001,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.507823,0.012,-0.005,1.024,0.21,0.49,1.05
2020-03-10 16:02:02.528342,0.013000000000000001,-0.007,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.538820,0.012,-0.006,1.033,0.21,0.56,1.05
2020-03-10 16:02:02.543999,0.012,-0.007,1.037,0.21,0.56,1.05
2020-03-10 16:02:02.559337,0.012,-0.006,1.026,0.28,0.49,1.05
2020-03-10 16:02:02.574699,0.011,-0.006,1.028,0.21,0.56,1.12
2020-03-10 16:02:02.590078,0.013000000000000001,-0.007,1.016,0.28,0.21,1.05
2020-03-10 16:02:02.615606,0.011,-0.004,1.028,0.21,0.49,0.98
2020-03-10 16:02:02.625897,0.013000000000000001,-0.007,1.029,0.28,0.42,1.05
2020-03-10 16:02:02.631198,0.01,-0.006,1.028,0.21,0.49,1.05
2020-03-10 16:02:02.646546,0.013000000000000001,-0.005,1.025,0.28,0.28,1.05
2020-03-10 16:02:02.646681,0.011,-0.006,1.027,0.28,0.49,1.05
2020-03-10 16:02:02.651818,0.013000000000000001,-0.006,1.029,0.21,0.49,0.98
2020-03-10 16:02:02.657171,0.012,-0.004,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.662338,0.012,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:02.672739,0.012,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.677932,0.013000000000000001,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.683036,0.012,-0.005,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.698378,0.011,-0.005,1.029,0.21,0.49,1.05
2020-03-10 16:02:02.703602,0.012,-0.006,1.032,0.21,0.56,1.05
2020-03-10 16:02:02.708763,0.01,-0.006,1.031,0.28,0.49,1.05
2020-03-10 16:02:02.708864,0.012,-0.007,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.708947,0.012,-0.006,1.033,0.28,0.35000000000000003,1.12
2020-03-10 16:02:02.724262,0.013000000000000001,-0.006,1.032,0.21,0.35000000000000003,1.05
2020-03-10 16:02:02.724319,0.01,-0.008,1.043,0.21,0.56,1.05
2020-03-10 16:02:02.724412,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.724569,0.008,-0.005,1.006,0.07,1.61,1.05
2020-03-10 16:02:02.724669,0.01,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.739974,0.01,-0.007,1.031,0.28,0.56,1.05
2020-03-10 16:02:02.755371,0.01,-0.007,1.03,0.21,0.56,1.05
2020-03-10 16:02:02.755499,0.01,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.755669,0.011,-0.005,1.031,0.21,0.42,1.05
2020-03-10 16:02:02.765984,0.012,-0.005,1.029,0.21,0.56,1.05
2020-03-10 16:02:02.771198,0.011,-0.007,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.776394,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.776430,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.776445,0.011,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.776560,0.011,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:02.797063,0.01,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:02.797278,0.011,-0.006,1.03,0.28,0.56,1.05
2020-03-10 16:02:02.797305,0.012,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.797348,0.011,-0.007,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.797363,0.011,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.797376,0.01,-0.004,1.031,0.14,0.56,1.05
2020-03-10 16:02:02.797426,0.011,-0.005,1.03,0.28,0.49,0.98
2020-03-10 16:02:02.833253,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.850514,0.01,-0.007,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.850705,0.011,-0.006,1.031,0.21,0.49,1.12
2020-03-10 16:02:02.861113,0.011,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.861251,0.012,-0.005,1.031,0.21,0.56,0.98
2020-03-10 16:02:02.861278,0.011,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:02.866473,0.01,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.866513,0.011,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.866596,0.012,-0.006,1.029,0.21,0.56,1.05
2020-03-10 16:02:02.866611,0.012,-0.005,1.031,0.28,0.49,1.05
